PACMAP1,PACMAP2,PACMAP3,label,bias_level
3.7946744,1.0993102,0.13402137,1,full_0.5
2.4686568,1.145443,0.64419013,9,full_0.5
-0.51155895,1.5023336,-0.6020499,2,full_0.5
-1.4314455,-2.4807491,0.26238105,1,full_0.5
-6.0251193,-0.6375604,0.52185947,6,full_0.5
-2.4525862,0.6452108,1.5739117,9,full_0.5
-4.2845216,-1.0901634,-1.0314944,4,full_0.5
-0.29385293,-3.1283617,0.53662705,7,full_0.5
2.196743,0.16050474,-1.7462528,3,full_0.5
-1.0436056,1.1092172,3.9153032,9,full_0.5
1.0157673,-2.3465648,1.1739352,8,full_0.5
-1.2313647,1.6446484,4.130608,9,full_0.5
7.2917066,0.30730325,-0.81214386,7,full_0.5
-3.1315958,-2.2490432,0.117946275,5,full_0.5
-0.50929826,-2.7440863,-0.4618817,3,full_0.5
-5.6617055,1.6134492,-1.5822284,4,full_0.5
-6.682921,-1.1502113,0.54746974,0,full_0.5
-1.0490882,-0.25107047,0.36349407,9,full_0.5
-1.9651428,0.57735616,-1.1721427,3,full_0.5
2.236713,-1.58566,0.62975484,2,full_0.5
-4.1109834,-1.706918,-1.5257831,5,full_0.5
-7.078655,-1.667173,1.0508555,0,full_0.5
-4.9457445,1.9676132,-0.31521097,8,full_0.5
4.481316,-1.3733047,-2.3874102,7,full_0.5
-7.0663,-1.6432801,1.04533,0,full_0.5
2.1321938,-0.73203903,-1.2774945,7,full_0.5
-2.5545022,-0.3725864,1.4872149,6,full_0.5
3.7724245,3.222463,1.9849409,6,full_0.5
-5.4973664,-0.42541644,-0.54457575,4,full_0.5
-3.2014074,-0.34180364,-1.2148509,3,full_0.5
3.9050632,-1.0815057,-2.557057,3,full_0.5
2.9649937,2.0125945,1.2588243,1,full_0.5
-6.0531244,-1.1585115,-0.52249146,1,full_0.5
8.004636,0.45387903,-0.78079635,5,full_0.5
5.2329726,-0.046056174,-0.21462175,2,full_0.5
4.084181,-1.3651518,-2.3668566,9,full_0.5
1.9456611,0.42169204,-0.6120492,4,full_0.5
-4.7785935,1.7762743,0.56499505,6,full_0.5
-4.758481,-1.5150635,-1.8883324,4,full_0.5
-3.9037447,1.8322339,-2.0440786,0,full_0.5
-0.4020365,-3.321838,0.6044269,8,full_0.5
4.6987505,-1.5502754,-2.8549893,5,full_0.5
4.9047594,-0.0025814893,-1.0523963,6,full_0.5
-4.7216578,0.018033566,-1.295402,6,full_0.5
3.1472027,-1.1310647,0.8361708,1,full_0.5
-6.7914867,-1.0674881,-0.04825673,0,full_0.5
-4.449424,-1.056976,-0.09548441,6,full_0.5
3.279663,-1.4102057,-2.0597217,7,full_0.5
-4.59119,-0.1139375,-0.5981072,2,full_0.5
-2.2216566,-1.0777682,1.9709609,3,full_0.5
-2.5745003,0.46269342,-1.3136101,8,full_0.5
0.6172775,-1.1617982,2.0785902,8,full_0.5
-1.83006,-0.9493377,2.3756585,7,full_0.5
4.247181,3.7483337,2.117316,6,full_0.5
1.5833181,-1.8534381,1.4298292,2,full_0.5
0.25508386,-3.4224465,0.67033005,8,full_0.5
-2.9497583,-1.1608323,2.4611003,1,full_0.5
-4.5423875,-0.8583088,1.191942,3,full_0.5
-0.40244013,2.6083584,-1.299531,4,full_0.5
-4.915892,1.551048,0.28204387,6,full_0.5
-6.2710466,-0.9811837,0.29769522,3,full_0.5
-6.506482,-0.6279118,-0.0957642,3,full_0.5
-1.7061383,2.556605,-0.8470974,1,full_0.5
4.1376004,-1.3829142,-2.7456088,6,full_0.5
6.950255,0.24123804,-0.80480564,7,full_0.5
-1.5219601,-1.8814766,2.674693,9,full_0.5
1.622515,-0.7358864,-1.0560391,7,full_0.5
-6.0054545,0.6967959,-0.49917835,0,full_0.5
-1.6944534,-2.2057762,0.30545008,5,full_0.5
-2.7419927,1.3685442,-0.33601323,3,full_0.5
-0.082480796,2.2591383,-1.4756432,7,full_0.5
0.94392604,1.5996004,-1.5965097,8,full_0.5
-3.9220932,-0.35110468,1.041605,3,full_0.5
-2.638586,-0.18549456,0.27697274,6,full_0.5
-6.2045736,-0.49645865,0.6638321,0,full_0.5
2.159939,-1.0622911,-0.74441177,7,full_0.5
-1.9352527,0.11577319,1.6678536,1,full_0.5
-3.9631755,1.304534,-1.9402121,3,full_0.5
-5.7547374,-1.2194406,-0.073102735,3,full_0.5
-3.2380426,-0.794117,2.553308,7,full_0.5
4.985702,-0.26999038,-0.31645384,0,full_0.5
-1.3904767,-1.3392832,1.7204005,9,full_0.5
1.3131455,1.1772925,2.1302538,1,full_0.5
1.6100508,-2.4823756,0.3065568,5,full_0.5
-0.8279897,1.0645624,0.46676683,4,full_0.5
1.1861743,-2.8634079,0.07045165,8,full_0.5
2.9483302,-1.5832553,1.0923455,5,full_0.5
3.5101852,1.4781773,0.27187312,7,full_0.5
3.2553782,-1.5074395,1.4158901,8,full_0.5
-2.254672,-1.6207335,-0.5105773,1,full_0.5
-0.44945398,1.7723719,4.2543645,9,full_0.5
-2.1812289,-0.41037127,1.2858976,6,full_0.5
-1.1530517,-2.3986812,0.37843496,1,full_0.5
-0.32259968,-0.18592189,-0.38721535,8,full_0.5
-1.2145982,1.0733942,2.7411015,8,full_0.5
-1.3562014,1.4055974,0.2228101,1,full_0.5
7.971217,0.42316929,-0.79176116,5,full_0.5
0.9739831,-0.16213305,-1.2680463,2,full_0.5
4.6033497,-1.5630937,-2.8628628,4,full_0.5
-5.524579,1.7630546,-1.5769364,4,full_0.5
3.6124985,-0.76151663,-0.5356833,6,full_0.5
-5.7742515,1.4914943,-1.3749533,4,full_0.5
1.3111879,0.79095656,-0.42718196,1,full_0.5
-0.45388985,-0.19360426,0.8373803,7,full_0.5
2.4189725,0.18124704,-0.5680765,6,full_0.5
7.233587,0.5956852,-0.5862925,5,full_0.5
-5.7746935,-0.38379866,0.2813604,1,full_0.5
-5.8829827,1.3796417,-1.3931522,0,full_0.5
-3.5912988,1.8358614,-2.1122963,3,full_0.5
-1.1760352,-3.0549204,0.36759308,8,full_0.5
-5.21735,-1.4425081,0.14699706,3,full_0.5
4.331813,0.24734406,-0.6335153,9,full_0.5
6.513113,0.061427858,-0.7262325,3,full_0.5
-2.9086134,-0.7244526,2.0392501,8,full_0.5
2.2713034,-0.8423752,-3.0868058,3,full_0.5
-6.709512,-1.0298029,0.10762016,6,full_0.5
-4.4068036,-1.0418749,-2.417983,2,full_0.5
-3.7841554,-0.79186916,1.5869192,6,full_0.5
2.3254943,-1.222591,-2.103142,1,full_0.5
4.761017,2.2002215,0.9052204,4,full_0.5
-0.45582858,0.16038424,-1.6660889,3,full_0.5
2.4231727,-0.6856588,-1.0261074,7,full_0.5
2.9502294,-1.4702034,0.46604654,5,full_0.5
-3.7265265,0.264977,-0.3149583,9,full_0.5
