PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label,bias_level
-1.625412,6.1652393,-8.936859,-2.1384587,2.1512904,-3.2026157,3.5784216,-1.2664984,2.2671056,3.750022,1.321531,4.9304514,2.6699162,1.8323492,0.9427884,4.851331,0.12689275,-1.990337,-2.9536335,-6.3857737,5.8441253,9.793766,-1.4118048,-0.13591649,0.6320981,-4.3292327,1.3296499,-5.230169,-1.3119572,-3.274117,-1.3625252,-0.3201247,-5.7563415,0.37613952,3.704963,-2.5133998,5.781433,5.251944,1.1388,5.29127,3.1775274,-1.7792419,-0.7745841,-4.713517,-4.498581,-2.087319,1.3135302,-0.30343103,3.6079853,6.033263,1,full_0.99
-14.114271,-12.345062,-15.819842,6.725313,-9.947703,3.3801723,7.977974,-3.3847399,4.1580625,-4.9448757,-8.830687,-0.43353313,-10.224039,1.7234423,1.6468773,-3.5110333,-0.13710731,0.39910984,1.1257089,-1.134104,7.773955,7.3015366,0.8847681,-3.733824,-3.2454987,-0.04119616,4.0834694,3.4070654,2.4189627,-0.7257443,-2.0751197,-1.1440167,0.932352,4.0283933,0.71489185,0.15628117,-0.7961737,-1.1789448,1.7191551,-3.010859,-0.0119581595,-3.1992452,0.07519076,-0.99422157,2.2077105,0.13959828,0.34319106,-1.2821707,0.6379056,2.09067,9,full_0.99
-12.661285,-0.37336943,1.0401943,-7.822835,-5.0212464,-8.598258,-5.1429744,-1.312287,4.0391226,-1.2156279,4.8775225,-3.0509498,-2.916733,7.5344825,5.6945105,-3.2261221,-0.25147232,0.015335349,-4.738014,-4.169823,-7.9260907,-3.4932761,5.1111994,9.068487,-5.3811154,-2.488374,10.12827,-3.7623508,-5.566702,-1.1911182,1.5640804,1.6128933,3.3671482,3.570621,0.033493247,5.2958217,3.3156805,-7.6893964,-2.1300418,-4.502919,1.353379,-1.9015985,4.3692017,2.1146939,-4.6894865,7.0575128,-4.24524,3.6414568,1.5999185,0.7136314,2,full_0.99
-15.1630535,-1.8806386,-6.856244,-4.5284886,1.1005156,-0.07310111,1.2780833,-2.1904867,9.102828,9.628067,1.6009767,0.97729516,5.4961705,-4.2755933,1.6971847,8.678565,-0.80537695,9.604976,2.6474946,-2.6011643,-3.3638074,-0.26818126,1.2566283,0.40127522,-2.572361,-0.036103535,1.2386477,-1.9206406,0.15499346,1.3573159,-3.2176342,-0.18779455,1.926537,2.7254453,0.44476953,-4.139868,-0.54830056,-0.2785706,-0.2617351,-1.7461838,-3.7295523,0.51754946,0.23600931,-1.4661479,-4.012719,1.6973491,0.9030254,2.3795009,-1.2387269,-2.6725528,1,full_0.99
-21.569757,7.836789,4.270155,6.260683,6.377718,-12.393572,5.661321,-10.272417,-4.2977505,2.9132164,4.676998,-2.308391,-0.061292395,2.1136265,9.941176,0.44752976,1.7603823,-2.9002695,-1.9164034,-2.7395542,-1.5053439,-0.85893494,5.7662973,0.27052018,3.290155,-2.5134919,8.06728,-3.2594273,1.194462,-1.238302,0.30206937,-2.7333708,-2.9527872,0.89768744,1.8951832,-2.397885,-2.4900556,-2.9457262,-1.0598388,-0.081421524,-0.56863666,-1.7103208,-0.7508992,-2.5148025,-3.4320557,3.3802671,1.2936506,-1.0423502,-3.0518544,-1.2386175,6,full_0.99
22.447744,-1.241772,-11.0115385,6.8848777,-14.581781,-1.5858685,10.442196,2.2924678,-3.0450566,3.187132,5.2127295,-1.8730664,-0.6263835,1.2385371,2.305558,-1.6296734,-4.0596457,-1.5893968,0.0932619,-8.399223,8.690501,3.823877,1.8114194,1.2289698,-2.7379897,4.1010246,3.87461,-2.5256243,0.09309387,4.668619,3.2923038,-5.194109,2.9486578,3.3155594,-2.2866244,2.799733,-0.31555095,-2.5099213,-2.1047225,-2.6598973,0.59178364,-1.2284809,-0.029874101,-0.40410173,5.236696,-0.47300667,2.3164814,-1.4699036,1.645838,2.858306,9,full_0.99
-14.003738,9.748438,-10.6637945,-4.6053267,3.9110732,11.664981,-8.166726,-5.9236207,-5.726287,2.203068,0.41501993,-3.6661775,-5.39642,3.872681,6.714622,-5.481648,6.834414,-2.812141,-1.3438429,-7.9476604,4.1654105,6.7750406,-4.5020013,-0.99988097,9.6829605,2.784707,-8.061358,-5.025781,-4.4844017,4.1860266,2.565404,5.441006,4.3635836,-0.22416016,-5.548764,0.32002586,2.4029841,-3.3948095,-0.66927195,2.7744832,-3.5079074,-0.5145759,-3.3454278,-3.5539412,-2.7802017,-1.1696377,-0.6187665,-1.3958352,-1.5888631,-0.76848555,4,full_0.99
-7.824578,-8.705944,19.497576,4.9173307,10.632163,6.9750795,6.3990536,-0.8595917,-0.6817861,2.3054497,2.8164632,-2.3927143,-6.0745974,1.8558831,2.3378074,6.117546,-1.3952122,-4.0641413,7.243512,1.0975258,2.015041,1.7043271,1.9999119,0.01979099,0.53475773,-1.1396244,0.04242634,-3.103063,6.3021293,1.4013267,0.622198,-3.5782585,2.1398368,-1.2995543,4.340934,6.6138244,-2.0980928,-3.4865136,-0.57087874,9.608051,-2.7711434,-3.6731927,0.85205543,3.6366606,-5.6191545,1.0132763,0.14074378,-5.151681,1.9745399,-2.7876928,7,full_0.99
-16.062725,-6.3910503,8.023717,-8.600425,-2.077576,-0.051847838,-5.83815,-7.594972,-1.9956647,-5.6772566,2.8946433,6.9707007,1.4660758,3.1935105,-0.029647874,1.8407491,2.2107677,-0.25060153,-1.418557,0.8727856,-0.45235083,-0.7043234,-0.8336895,3.143609,3.7622788,-5.9195375,5.0001388,0.4294052,0.9326647,8.107226,-5.3688745,-4.2965364,1.3014946,0.57001734,-2.6528685,5.3644648,-10.933215,0.057973977,4.0316377,-4.786077,3.093271,-1.6576353,0.21076031,3.3588192,-1.9775481,-2.5832243,6.436149,-0.94425863,3.540935,-2.4120376,3,full_0.99
-9.43969,-10.987341,-16.991594,6.9158525,-11.252365,7.2956223,8.254503,-7.1850815,2.436413,-5.4198027,-12.173259,3.2748506,1.8317695,-8.463764,3.9638553,-4.373093,8.425468,-13.682056,-0.22773004,-1.8712628,-7.223166,2.2853198,8.0670805,-0.007387105,-3.4732895,-4.301955,0.5995167,2.5139146,3.517063,0.4462522,-3.4078221,0.83229256,4.2024302,3.1073573,-1.2196401,5.226995,2.9109762,-4.7515407,3.023848,-1.1728228,-3.589023,-3.775147,1.1877061,-2.5158699,1.5988015,0.3881336,-1.070396,-0.39651564,-1.3175064,1.1855268,9,full_0.99
23.168615,-25.318722,-2.5579069,21.061993,6.8522763,-5.843003,-11.565257,2.6088052,0.9942852,-0.80144143,1.2929268,-3.761594,-3.2835653,-1.3662324,-7.295185,-2.1253781,4.4255347,2.231139,3.0539854,-0.8000713,3.5339074,5.553548,-3.6915786,-0.5371696,7.5673914,-3.1383288,-1.6097115,-0.9963368,4.168892,-0.7575664,5.7405944,-2.6507394,-3.3643627,3.272423,1.4582508,0.59896547,3.745246,-2.1606808,6.354195,-3.8930578,-4.6336026,-3.6868007,5.750665,1.1356443,-3.7358503,1.415744,-0.57317126,-2.0027657,1.7220764,3.881469,8,full_0.99
-5.9880433,-9.032436,-15.773401,4.4337378,-11.399572,6.995986,8.174856,-7.340564,5.9509006,6.8494344,0.7840134,-3.1076689,6.1529818,-2.818302,-12.364042,-2.5074654,8.09596,-1.1255202,-1.2612183,1.8310188,3.7952929,-0.24335733,1.925154,1.8320979,2.7498262,5.5410147,0.87864745,6.0581264,0.37231287,3.851147,2.4133244,-0.6381433,0.6253903,1.1808369,2.2270718,3.8601727,1.8224591,0.89000475,0.29547402,-2.0997615,-0.76915896,-3.5880013,1.0841197,0.38815564,1.7489756,1.9086001,-0.28047904,-0.6340187,-2.4163413,2.1284347,9,full_0.99
-1.9955058,-13.577551,18.90641,-0.8816168,3.1050956,9.09644,6.3081098,3.0299263,0.87051827,0.34774062,-2.3996313,-3.8696644,6.838751,4.8307114,4.4943666,-3.8399181,-3.9391549,-3.9043338,7.345051,2.9513855,0.42628732,-3.5510442,-2.800738,0.47461867,-3.2773318,4.630129,1.8733224,-4.402722,-0.3194984,-0.82485414,-1.4076353,0.22619496,-2.2950823,-2.5980833,2.278513,4.1990886,0.672006,3.738545,-4.9982266,-0.8236093,-0.27563,1.4671146,-3.189097,-2.2424169,2.9006896,2.6463344,2.1850092,-0.061977558,-1.2890048,1.6745206,7,full_0.99
37.48137,-5.570998,-4.6281223,-8.805564,12.20351,-1.5126581,-8.038387,-8.892369,3.7610147,-6.7961392,-1.7071434,-9.309138,0.12342269,0.5099474,-7.064856,8.063943,-4.648656,-7.105602,-5.4548426,-2.438283,-7.6850414,1.933445,-4.74358,-1.7712914,-3.2164648,4.517232,4.7951574,-1.2202078,-4.8566113,4.662833,2.7092373,2.158495,-3.6538386,3.9255476,3.1512835,-0.7295076,4.858815,0.25786966,5.436434,-6.4578905,5.1159444,-1.3858918,6.39571,5.289878,-3.1337657,1.1848593,3.714745,-0.7504737,3.2295988,3.2940528,5,full_0.99
9.504068,-3.0086315,17.329937,-6.8131285,-14.565605,-0.8359849,-3.1600099,-3.3061156,-8.116624,-0.11290141,7.1813107,-0.629423,3.9007165,-2.4033384,4.001372,0.207982,-9.545425,0.86480445,0.47662732,-4.0543966,1.431461,-1.7050602,-0.4339608,0.28869933,-3.437325,2.4301288,-0.31762165,3.5718668,-0.5639896,1.4393436,0.5947849,-2.0250032,0.7676446,2.341167,0.97508603,-1.5494012,1.5670505,1.1549451,0.6012071,1.4712005,1.5564231,-1.0266597,-0.2776602,-2.7858214,1.8870481,-2.194321,-2.9477096,-1.796942,-2.8939931,0.00726003,3,full_0.99
-17.452337,6.446503,-9.297082,-7.1122403,4.9840326,10.071338,-6.950512,-0.95338917,-4.4053283,-1.968199,-2.7501874,-4.386639,0.40951493,1.4340329,3.777513,-4.065884,2.5177042,10.68127,2.4315739,-0.43375015,4.0863914,-3.073384,7.936443,-3.3231022,0.3626143,2.1692698,-2.4058042,-0.29474258,0.5724567,-0.83453506,-2.0005515,9.163766,1.395599,-5.6278553,-0.9766893,-3.2274268,-3.2917638,-2.814925,6.505774,1.5350078,4.3607264,-0.20894496,5.0802407,-8.26707,3.8377197,4.5717335,3.1731842,-0.3337038,0.23230703,-3.422084,4,full_0.99
