UMAP1,UMAP2,UMAP3,label,bias_level
4.388191,3.2346497,3.2522845,1,full_0.99
16.388947,0.92161345,4.9277096,9,full_0.99
2.3300705,9.852524,5.031425,2,full_0.99
4.146102,4.009056,4.017498,1,full_0.99
-0.41359892,-3.8064587,5.595624,6,full_0.99
17.536942,-0.57240546,4.778723,9,full_0.99
4.260204,3.8040228,5.0742083,4,full_0.99
-6.1186686,15.527432,1.4713377,7,full_0.99
2.2363584,10.038698,5.702297,3,full_0.99
16.36512,0.93467766,5.0035048,9,full_0.99
13.0459175,10.180344,-1.1215409,8,full_0.99
16.695625,0.4382929,5.0556216,9,full_0.99
-5.978764,15.2575035,1.5343018,7,full_0.99
11.085184,9.228964,6.9821997,5,full_0.99
1.3989817,11.916469,6.4797983,3,full_0.99
4.2157655,4.075041,5.161262,4,full_0.99
4.1995664,5.13349,4.543899,0,full_0.99
17.590923,-0.65875506,4.742821,9,full_0.99
1.3719867,11.932687,6.4381013,3,full_0.99
1.9982668,10.046041,4.705619,2,full_0.99
12.160342,9.180557,7.9610624,5,full_0.99
4.6540494,5.3615036,4.4928336,0,full_0.99
13.712366,9.986272,-1.2307996,8,full_0.99
-5.740897,15.1421,2.1982927,7,full_0.99
4.5740733,5.377847,4.434143,0,full_0.99
-5.5917497,15.025478,2.1067946,7,full_0.99
0.0037869993,-3.6177318,5.174973,6,full_0.99
2.0059674,-3.035691,3.1332402,6,full_0.99
3.5368865,3.2845592,4.9639425,4,full_0.99
1.5388136,10.370505,5.77327,3,full_0.99
1.8660592,10.935913,6.1368923,3,full_0.99
4.528595,3.4086325,2.8275712,1,full_0.99
4.708047,3.5871887,3.4674757,1,full_0.99
12.3230295,9.515955,9.301838,5,full_0.99
1.1000655,10.550618,2.7403214,2,full_0.99
16.341105,0.9605953,5.005917,9,full_0.99
4.5331426,0.7251156,1.97111,4,full_0.99
-0.1514486,-3.7112625,5.4556456,6,full_0.99
4.234252,0.8557344,2.3408704,4,full_0.99
4.158748,5.7073145,4.2704635,0,full_0.99
13.003665,10.197209,-1.1580178,8,full_0.99
12.262021,9.578401,9.3146715,5,full_0.99
0.8299389,-4.1128616,3.8068697,6,full_0.99
0.12069768,-3.8454218,4.799598,6,full_0.99
4.731004,3.562985,3.5135305,1,full_0.99
3.6696873,5.3738513,4.7418146,0,full_0.99
-0.13122807,-3.636452,5.708696,6,full_0.99
-6.0635457,15.271644,1.6120454,7,full_0.99
1.5601071,9.950503,4.6290545,2,full_0.99
1.2339035,12.105706,6.319073,3,full_0.99
13.631012,10.088613,-0.87676513,8,full_0.99
13.544901,9.813956,-0.9153841,8,full_0.99
-5.5105505,14.995592,1.857901,7,full_0.99
0.8634241,-4.13565,3.7657907,6,full_0.99
1.2935847,10.525329,3.1611238,2,full_0.99
13.384699,10.422393,-1.1992267,8,full_0.99
4.957513,3.6722674,3.9693775,1,full_0.99
1.7512901,11.044455,6.275616,3,full_0.99
5.3438087,2.6436384,3.7808673,4,full_0.99
-0.32845488,-3.6846905,5.617218,6,full_0.99
